1	
2	
3	-0.12099
4	-0.12269
5	-0.12308
6	-0.12076
7	-0.11967
8	-0.12004
9	-0.11945
10	-0.11674
11	-0.11713
12	-0.12014
13	-0.12067
14	-0.11868
15	-0.11839
16	-0.11942
17	-0.11891
18	-0.11531
19	-0.11466
20	-0.11390
21	-0.11180
22	-0.11733
23	-0.11984
24	-0.11609
25	-0.11369
26	-0.11479
27	-0.11680
28	-0.11632
29	-0.11418
30	-0.11434
31	-0.11469
32	-0.11358
33	-0.11347
34	-0.11663
35	-0.11900
36	-0.11687
37	-0.11795
38	-0.12598
39	-0.12429
40	-0.10099
41	-0.11088
42	-0.11681
43	-0.10880
44	-0.11006
45	-0.11771
46	-0.11790
47	-0.11374
48	-0.11396
49	-0.11864
50	-0.11558
51	-0.11597
52	-0.11692
53	-0.11495
54	-0.11846
55	-0.11922
56	-0.11667
57	-0.11434
58	-0.11285
59	-0.12117
60	-0.12928
61	-0.12488
62	-0.11260
63	-0.09752
64	-0.09526
65	-0.10240
66	-0.10151
67	-0.11159
68	-0.12600
69	-0.13326
70	-0.13028
71	-0.12336
72	-0.11970
73	-0.11643
74	-0.11560
75	-0.11681
76	-0.11514
77	-0.11338
78	-0.11587
79	-0.11553
80	-0.11328
81	-0.11198
82	-0.11167
83	-0.11162
84	-0.11187
85	-0.11392
86	-0.11547
87	-0.11535
88	-0.11899
89	-0.11951
90	-0.11404
91	-0.11367
92	-0.11637
93	-0.11507
94	-0.11461
95	-0.11674
96	-0.11623
97	-0.11354
98	-0.11561
99	-0.11848
100	-0.11392
101	-0.11315
102	-0.11648
103	-0.11489
104	-0.11416
105	-0.11679
106	-0.11488
107	-0.11319
108	-0.11510
109	-0.11632
110	-0.11525
111	-0.11445
112	-0.11626
113	-0.11564
114	-0.11571
115	-0.11625
116	-0.11352
117	-0.11134
118	-0.11561
119	-0.11731
120	-0.11538
121	-0.11459
122	-0.11528
123	-0.11540
124	-0.11688
125	-0.12061
126	-0.11820
127	-0.11267
128	-0.11688
129	-0.11965
130	-0.11521
131	-0.11356
132	-0.11532
133	-0.11213
134	-0.11062
135	-0.11365
136	-0.11457
137	-0.11079
138	-0.11226
139	-0.11444
140	-0.11258
141	-0.11190
142	-0.11268
143	-0.10931
144	-0.10660
145	-0.10935
146	-0.10811
147	-0.10403
148	-0.10638
149	-0.10871
150	-0.10716
151	-0.10624
152	-0.10678
153	-0.10494
154	-0.10283
155	-0.10335
156	-0.10454
157	-0.10632
158	-0.10800
159	-0.10683
160	-0.10294
161	-0.10365
162	-0.10580
163	-0.10567
164	-0.10404
165	-0.10326
166	-0.10379
167	-0.10424
168	-0.10544
169	-0.10648
170	-0.10634
171	-0.10500
172	-0.10713
173	-0.10853
174	-0.11100
175	-0.11507
176	-0.11629
177	-0.11261
178	-0.11146
179	-0.11478
180	-0.11578
181	-0.11614
182	-0.11653
183	-0.11435
184	-0.11226
185	-0.11314
186	-0.11481
187	-0.11190
188	-0.10960
189	-0.10951
190	-0.10746
191	-0.10608
192	-0.10509
193	-0.10271
194	-0.10101
195	-0.10152
196	-0.10158
197	-0.10048
198	-0.09890
199	-0.09792
200	-0.10011
201	-0.10126
202	-0.10089
203	-0.10059
204	-0.09971
205	-0.09919
206	-0.09237
207	-0.09302
208	-0.09900
209	-0.10505
210	-0.10431
211	-0.11028
212	-0.11847
213	-0.11950
214	-0.11962
215	-0.12590
216	-0.12731
217	-0.12794
218	-0.13112
219	-0.13360
220	-0.13151
221	-0.13102
222	-0.13244
223	-0.13228
224	-0.13263
225	-0.13466
226	-0.13096
227	-0.12577
